url,date,title,details,time,org
2022-11-15,https://www.bu.edu/calendar/?day=2022-11-15&uid=274050@17.calendar.bu.edu,Counseling Psychology &amp; Applied Human Development Brown Bag Lunch - Dr. Michael Medina,Join the Counseling Psychology &amp; Applied Human Development Department for an opportunity to meet faculty member Dr. Michael Medina and to hear more about his research. ,"10:30 am to 12:00 pm  on Tuesday, November 15, 2022",
2022-11-15,https://www.bu.edu/calendar/?day=2022-11-15&uid=269363@17.calendar.bu.edu,"CEY ADAMS, DEPARTURE: 40 Years of Art and Design","As a visionary artist, a cultural pioneer, and innovative designer, Cey Adams personifies the New York City hustle. A graffiti and design legend, Adams honed his art skills painting the streets and trains of NYC in the late 1970's before moving downtown where the street art was leaking into the city's high end galleries. Like his pop art contemporaries of the time, Adams understood the power of images, media and advertising, a position that left him uniquely suited to give visual life to a new movement called hip hop.
 
CEY ADAMS, DEPARTURE: 40 Years of Art and Design examines Adams' more than 4 decades of work which spans everything from graffiti to designing album covers, t-shirts and posters for some of hip hop's foundational acts, and his expanding commercial collaborations with global brands. With a return to his roots more than a decade ago, Adams has explored his evolving art through fine art and mixed media collages that evoke nostalgia while looking deeper into an Americana that is effortlessly authentic.","11:00 am  – 5:00 pm  on every Tuesday, Wednesday, Thursday, Friday, &amp; Saturday until Sunday, December 11, 2022",
2022-11-15,https://www.bu.edu/calendar/?day=2022-11-15&uid=269364@17.calendar.bu.edu,Hidden and Hiding (Tago ng Tago): Filipino Weaving by Bhen Alan,"Tago ng Tago (always hiding) or TNT is a term coined for Filipinos abroad who are in hiding from the government authorities or ill-whistlers, due to expired work visas, undocumented status, and overstaying in a country. “TNT immigrants” is an identity given to Filipinos who live unauthorized and have to conceal their immigration status. 

In this exhibition, artist Bhen Alan crafts intricate tapestries using an ancient Filipino weaving tradition. These tapestries take on sculptural forms with Alan’s use of mixed media such as coconut and bamboo leaves, recycled plastics, woven rice sacks, fans and feathers. This traditional weaving brings a spotlight to Alan’s oft overlooked Filipino heritage in this country. While trying to connect with his own community, Alan uses his art to celebrate his own culture while raising questions of equality and human rights.","11:00 am  – 5:00 pm  on every Tuesday, Wednesday, Thursday, Friday, &amp; Saturday until Saturday, December 3, 2022",
2022-11-15,https://www.bu.edu/calendar/?day=2022-11-15&uid=274690@17.calendar.bu.edu,Pottery Paint ,Join us for a morning of painting pottery! Hillel will cover the cost of $10 entry and you can pick out your own pieces! ,"11:00 am to 1:00 pm  on Tuesday, November 15, 2022",
2022-11-15,https://www.bu.edu/calendar/?day=2022-11-15&uid=271945@17.calendar.bu.edu,Graduate Christian Fellowship,"Graduate Student Christian Fellowship (GCF) meets Tuesdays for a free lunch 11:30am-12:30pm in the basement of Marsh Chapel. Come enjoy friendship, food, and sharing faith with other BU grad students.","11:30 am  – 12:30 pm  on every Tuesday until Tuesday, December 6, 2022",Intervarsity
2022-11-15,https://www.bu.edu/calendar/?day=2022-11-15&uid=270151@17.calendar.bu.edu,Resume &amp; Cover Letter Drop-Ins,,"12:00 pm to 3:00 pm  on Tuesday, November 15, 2022",
2022-11-15,https://www.bu.edu/calendar/?day=2022-11-15&uid=274621@17.calendar.bu.edu,Resume &amp; Cover Letter Drop-Ins,"The CCD offers personalized feedback for resumes and cover letters with 15-minute sessions during drop-in hours, no appointments needed!","12:00 pm to 3:00 pm  on Tuesday, November 15, 2022",BU Center for Career Development 
2022-11-15,https://www.bu.edu/calendar/?day=2022-11-15&uid=272110@17.calendar.bu.edu,Precarity Lab ,,"1:00 pm to 2:00 pm  on Tuesday, November 15, 2022",
2022-11-15,https://www.bu.edu/calendar/?day=2022-11-15&uid=274103@17.calendar.bu.edu,Reading the Room: Preparing Pre-service Candidates to Teach Reading,"Join the National Center on Improving Literacy (NCIL) for a discussion about preparing pre-service candidates to use evidence-based methods to teach reading, especially after the instructional disruptions caused by COVID-19.","2:00 pm to 3:00 pm  on Tuesday, November 15, 2022",
2022-11-15,https://www.bu.edu/calendar/?day=2022-11-15&uid=274700@17.calendar.bu.edu,Paley Center: Peter Roth Internship Information Session,"We will be holding four virtual info sessions on Zoom for interested students, professors, and counselors to gain insight into our application process, eligibility requirements, and program offerings.

REGISTRATION FOR THIS EVENT IS REQUIRED - https://www.universe.com/embed2/events/2023-peter-roth-internship-info-session-w-the-paley-center-tickets-5TV9RC

The Paley Center offers students a comprehensive paid Summer 2023 internship that expands upon the institution’s long-running accredited internship programs and includes three key components for an unparalleled educational experience. Look for the internship posting on Handshake.","3:00 pm to 4:00 pm  on Tuesday, November 15, 2022",
2022-11-15,https://www.bu.edu/calendar/?day=2022-11-15&uid=270070@17.calendar.bu.edu,ERC Workshops: Essential Tips to Manage Your Time,"Does it feel like there are never enough hours in the day? Are you pulling all-nighters to complete assignments at the last minute? Or, perhaps, you have all of your classes and extracurricular activities color-coded in your iCal or Google Calendar, but you aren’t sure how to optimize your study time. In this workshop, you will learn essential time management principles and strategies for overcoming procrastination. You’ll also discover prioritization tools to help you confidently navigate your weekly routine.","3:30 pm to 4:30 pm  on Tuesday, November 15, 2022",
2022-11-15,https://www.bu.edu/calendar/?day=2022-11-15&uid=272937@17.calendar.bu.edu,Create Space,"Feeling crafty? Want to learn about how the arts can be used in different cultures and religious traditions? Each Tuesday, Create Space offers a different arts and craft project that encourages mindfulness, or is connected to a global event, religious holiday, or specific country’s tradition. Take a break from the stresses of school and do something creative! Drop in anytime between 3:30-5:30pm, or stay the whole time!

Meets Weekly on Tuesdays, 3:30-5:30pm in the Thurman Room (lower level of Marsh Chapel), during the academic school year. See you in Fall 2022!","3:30 pm  – 5:30 pm  on every Tuesday until Tuesday, December 6, 2022",Marsh Chapel
2022-11-15,https://www.bu.edu/calendar/?day=2022-11-15&uid=272044@17.calendar.bu.edu,Create Space,TBD,"3:30 pm  – 5:30 pm  on every Tuesday until Tuesday, December 6, 2022",
2022-11-15,https://www.bu.edu/calendar/?day=2022-11-15&uid=269788@17.calendar.bu.edu,Essential Tips to Manage Your Time,"Does it feel like there are never enough hours in the day? Are you pulling all-nighters to complete assignments at the last minute? Or, perhaps, you have all of your classes and extracurricular activities color-coded in your iCal or Google Calendar, but you aren’t sure how to optimize your study time. In this workshop, you will learn essential time management principles and strategies for overcoming procrastination. You’ll also discover prioritization tools to help you confidently navigate your weekly routine.","3:30 pm to 4:30 pm  on Tuesday, November 15, 2022",
2022-11-15,https://www.bu.edu/calendar/?day=2022-11-15&uid=272933@17.calendar.bu.edu,Create Space ,"Feeling crafty? Want to learn about how the arts can be used in different cultures and religious traditions? Each Tuesday, Create Space offers a different arts and craft project that encourages mindfulness, or is connected to a global event, religious holiday, or specific country’s tradition. Take a break from the stresses of school and do something creative! Drop in anytime between 3:30-5:30pm, or stay the whole time!

Meets Weekly on Tuesdays, 3:30-5:30pm in the Thurman Room (lower level of Marsh Chapel), during the academic school year. See you in Fall 2022!","3:30 pm  – 5:30 pm  on every Tuesday until Tuesday, December 6, 2022",Marsh Chapel
2022-11-15,https://www.bu.edu/calendar/?day=2022-11-15&uid=270563@17.calendar.bu.edu,Sleep Solutions Group,"Sleep is vital to your success as a student! Do you struggle to fall asleep at night? Or wake up feeling unrested? This group is a supportive place to discuss your sleep struggles and learn effective, research-based strategies in helping you obtain better sleep to improve your well-being. Students are encouraged to practice these skills between group sessions. Registration required, see website for details. ","3:30 pm  – 4:30 pm  on every Tuesday until Tuesday, December 6, 2022",
2022-11-15,https://www.bu.edu/calendar/?day=2022-11-15&uid=274622@17.calendar.bu.edu,Acing Your Interview | Professional Clothing Closet Open,"Learn ways to prepare yourself to best answer any interview question and make yourself shine in the process.We will cover what are the goals, and stages of an interview. This workshop will provide you the information necessary to ace your interview. Stick around and join us for an insider's look into the Professional Clothing Closet, open to attendees immediately following this session.","4:00 pm to 5:00 pm  on Tuesday, November 15, 2022",BU Center for Career Development 
2022-11-15,https://www.bu.edu/calendar/?day=2022-11-15&uid=270043@17.calendar.bu.edu,Acing Your Interview | Professional Clothing Closet Open,,"4:00 pm to 5:00 pm  on Tuesday, November 15, 2022",
2022-11-15,https://www.bu.edu/calendar/?day=2022-11-15&uid=274463@17.calendar.bu.edu,Drawing the Line: Creating Boundaries for your Wellbeing Workshop,"In this interactive workshop we will explore different types of boundaries and recognize when others are taking advantage of you by crossing those boundaries.  We will examine the ways our culture and family backgrounds present unique challenges to setting boundaries. You will learn skills to set healthy boundaries and to communicate them so that you can take better care of yourself and have mutually respectful relationships in your personal and professional life. This workshop is targeted towards first generation college students, but all are welcome! 
Presented by Student Wellbeing, Newbury Center and College Mental Health Education Programs. ","5:00 pm to 6:00 pm  on Tuesday, November 15, 2022",Student Wellbeing
2022-11-15,https://www.bu.edu/calendar/?day=2022-11-15&uid=274766@17.calendar.bu.edu,BUMC Climate Action Group Advocacy Workshop with Elders Climate Action,"This workshop, Advocacy for Climate Solutions - Local, State and Federal Action, will be presented by Tina Grosowsky and Seth Evans, members of Elders Climate Action (MA Chapter), who both have extensive experience with effective advocacy and engagement in the climate and health realm. They will be sharing their knowledge, strategies, and recommendations, and they are happy to answer any questions. This is a hybrid event.","5:00 pm to 6:00 pm  on Tuesday, November 15, 2022",BUMC Climate Action Group
2022-11-15,https://www.bu.edu/calendar/?day=2022-11-15&uid=274604@17.calendar.bu.edu,International Education Week Highlight,"In collaboration with BU Global Programs, our chefs have come up with menu items inspired from around the globe. Tonight, we are serving a classic Canadian dish, poutine and a dish of Japanese origin, gyoza.IEW is a joint initiative of the U.S. Department of State and the U.S. Department of Education to celebrate the benefits of international education and exchange. ","5:00 pm to 9:00 pm  on Tuesday, November 15, 2022",
2022-11-15,https://www.bu.edu/calendar/?day=2022-11-15&uid=273447@17.calendar.bu.edu,Dual-purpose Interaction: Designing interactive systems interwoven with what people already do,"Interweaving technology into our daily life is a dream of ubiquitous computing. Such integration not only achieves indistinguishability of technology, but also creates additional values and benefits in existing user interaction. In this talk, I am sharing our recent work that adds new benefits to existing user interaction and behavior. I present three projects that exploit existing user interaction in usable security and interactive machine teaching. I also share our envision on how HCI research can enrich people's life through interface design with multiple purposes.","5:00 pm to 6:00 pm  on Tuesday, November 15, 2022",MET Computer Science
2022-11-15,https://www.bu.edu/calendar/?day=2022-11-15&uid=273537@17.calendar.bu.edu,LGBTQ+ Support Group,,"5:00 pm to 6:00 pm  on Tuesday, November 15, 2022",
2022-11-15,https://www.bu.edu/calendar/?day=2022-11-15&uid=270522@17.calendar.bu.edu,LGBTQ+ Support Group,"This support group provides a safe space to explore and discuss the joys and challenges of being lesbian, gay, bisexual, transgender, queer, and questioning. This confidential and affirming group is an opportunity to connect with each other and offer emotional support. Members will explore themes, such as relationships with family, friends, and partners, coming out, being out identity, and ways to embrace all parts of your identity. Registration required, see website for details. ","5:00 pm  – 6:00 pm  on every Tuesday until Tuesday, December 6, 2022",
2022-11-15,https://www.bu.edu/calendar/?day=2022-11-15&uid=270622@17.calendar.bu.edu,Let's Speak: Portuguese,"Whether you’re enrolled in language class, a member of Global House, or simply learning a language on your own, we welcome you to practice your conversational skills with us. ERC Language Link and BU Global House are now offering student-led conversation hours in a variety of languages. These sessions are open to all BU students and speakers of all levels. Sign up for a judgement-free conversation session, and Let’s Speak together today!","5:00 pm to 5:50 pm  on Tuesday, November 15, 2022",
2022-11-15,https://www.bu.edu/calendar/?day=2022-11-15&uid=269159@17.calendar.bu.edu,Money Matters,"Join BU Study Abroad staff to learn more about the financial side of studying abroad. We will cover how financial aid works for study abroad, grants and scholarships that are available, as well as overall budgeting while studying abroad.","5:30 pm to 6:00 pm  on Tuesday, November 15, 2022",
2022-11-15,https://www.bu.edu/calendar/?day=2022-11-15&uid=274530@17.calendar.bu.edu,Book Club,"Book Club uses literature to spark thoughtful conversations about the human experience. Led by an HTC Graduate Assistant, Book Club reads two books each semester provided by the HTC.","6:00 pm to 7:00 pm  on Tuesday, November 15, 2022",
2022-11-15,https://www.bu.edu/calendar/?day=2022-11-15&uid=274577@17.calendar.bu.edu,"Brinda Bose - Literature, Cinema, and the Avant-Garde: Terrene and Temporal Traffics","Join the Boston University Cinema &amp; Media Studies program and the Department of English as we welcome Visiting Scholar, Prof. Brinda Bose to campus. Brinda Bose teaches at the Centre for English Studies in the School of Language, Literature and Culture Studies at Jawaharlal Nehru University, New Delhi, and on her sabbatical now is Visiting Scholar at Boston University in the Fall of 2022. Her interests are in modernisms and the avant-garde, gender/sexualities, modern and contemporary Indian writing and film, and humanities studies.","6:30 pm on Tuesday, November 15, 2022",Cinema &amp; Media Studies
2022-11-15,https://www.bu.edu/calendar/?day=2022-11-15&uid=274687@17.calendar.bu.edu,"Brinda Bose - Literature, Cinema, and the Avant-Garde: Terrein and Temporal Traffics"," Join the Boston University Cinema &amp; Media Studies program and the Department of English as we welcome Visiting Scholar, Prof. Brinda Bose to campus.","6:30 pm on Tuesday, November 15, 2022",
2022-11-15,https://www.bu.edu/calendar/?day=2022-11-15&uid=274499@17.calendar.bu.edu,"Brinda Bose - Literature, Cinema, and the Avant-Garde: Terrein and Temporal Traffics","Join the Boston University Cinema &amp; Media Studies program and the Department of English as we welcome Visiting Scholar, Prof. Brinda Bose to campus.","6:30 pm on Tuesday, November 15, 2022",Cinema &amp; Media Studies
2022-11-15,https://www.bu.edu/calendar/?day=2022-11-15&uid=269608@17.calendar.bu.edu,Tuesday Night Lecture Series: Mo Kong,"&lt;P&gt;As part of the Tuesday Night MFA Lecture Series, BU College of Fine Arts School of Visual Arts presents a lecture with artist Mo Kong&lt;/P&gt;&lt;P&gt;This is a free and in-person event available to the BU Community.&lt;/P&gt;&lt;P&gt;Hosted by the graduate programs in painting and sculpture at Boston University, the Tuesday Night MFA Lecture series brings practicing artists to campus to present their work throughout the semester. &lt;/P&gt;&lt;P&gt; BU College of Fine Arts School of Visual Arts prepares students to think seriously, to see critically, to make intensely, and to act with creative agency in the contemporary world. The School of Visual Arts merges the intensive studio education of an art school with the opportunities of a large urban university, and is committed to educating the eye, hand, and mind of the artist. &lt;/P&gt;","7:30 pm to 9:00 pm  on Tuesday, November 15, 2022",
2022-11-15,https://www.bu.edu/calendar/?day=2022-11-15&uid=274735@17.calendar.bu.edu,Robert Lowell Memorial Lecture Series,Award-winning poets A.E. Stallings and Togara Muzanenhamo are coming to BU! Reception and book-signing to follow.,"7:30 pm to 8:30 pm  on Tuesday, November 15, 2022",Favorite Poem Project / Creative Writing
2022-11-15,https://www.bu.edu/calendar/?day=2022-11-15&uid=274683@17.calendar.bu.edu,Robert Lowell Memorial Lecture,Award-Winning Poet A.E. Stallings and BU Alum Togara Muzanenhamo are coming to BU! Reading followed by a reception and book signing.,"7:30 pm to 8:30 pm  on Tuesday, November 15, 2022",
2022-11-15,https://www.bu.edu/calendar/?day=2022-11-15&uid=274400@17.calendar.bu.edu,Robert Lowell Memorial Lecture,Award Winning Poets A.E. Stallings and Togara Muzanenhamo are coming to BU! Reception and book signing to follow.,"7:30 pm to 8:30 pm  on Tuesday, November 15, 2022",Creative Writing/Favorite Poem Project
2022-11-16,https://www.bu.edu/calendar/?day=2022-11-16&uid=274583@17.calendar.bu.edu,Make a Difference Annual Donation Drive,"Please join your fellow GMS students, faculty and staff in giving back to our community through our donation drive for Cradles to Crayons - which provides essentials to children of all ages, from school supplies to clothing. How to participate: 1) Check out the list of Most Needed Items 2) Drop off or have your donation delivered directly to the GMS Suite, L-317 All students who donate will have their names entered in a raffle to win one of 20 Chequers Cafe vouchers!","All day on Wednesday, November 16, 2022",
2022-11-16,https://www.bu.edu/calendar/?day=2022-11-16&uid=267261@17.calendar.bu.edu,SpotOn! Podcast: The Not So Sweet News About Added Sugars,"We are consuming approximately 17 teaspoons of added sugars daily.  A sugary diet can increase your risk of heart disease, obesity, and diabetes.  Find out why and how to curb your sweet tooth. On all podcast platforms.",12:00 am  every day,Health Sciences
2022-11-16,https://www.bu.edu/calendar/?day=2022-11-16&uid=260297@17.calendar.bu.edu,Spot On! Podcast:  The Latest Buzz About Caffeine,Americans run on caffeine as approximately 85% of us drink at least one caffeinated beverage very day.  We will discuss the latest on the benefits of caffeine in the diet.,12:00 am  every day,Health Scienes
2022-11-16,https://www.bu.edu/calendar/?day=2022-11-16&uid=264290@17.calendar.bu.edu,Spot On! Podcast:Is CBD a Help or Just Hype?,This week we talk with an expert about CBD.  Tune in to learn more about this fascinating topic.,All day  every day,Health Sciences
2022-11-16,https://www.bu.edu/calendar/?day=2022-11-16&uid=260831@17.calendar.bu.edu,Spot On! Podcast:  What Is Intuitive Eating?,"Elyse Resch, RDN, co-author of the book, Intuitive Eating, share her expertise on this evidenced-based, mind-body health approach to eating.

Spot On! is available on Apple Podcast: https://podcasts.apple.com/us/podcast/spot-on/id1448760100
",12:00 am  every day,Health Sciences
2022-11-16,https://www.bu.edu/calendar/?day=2022-11-16&uid=274542@17.calendar.bu.edu,Flu Shot &amp; HPV Vaccine Clinics,"All BU students are welcome. Free for students with SHIP. Non-SHIP students will be charged for the cost of vaccines received and charges will be billed to the student account. Receipts will be emailed to students to submit to their insurance company for reimbursement. An appointment is required. Please book an appointment at https://patientconnect.bu.edu. Only flu and HPV shots will be offered. HPV is a common STI that can lead to the development of cervical cancer. Due to COVID-19 guidelines, a face mask is required upon entry. Hosted by BU Student Health Services.","9:00 am  – 3:00 pm  every day until Friday, November 18, 2022",Student Health Services
2022-11-16,https://www.bu.edu/calendar/?day=2022-11-16&uid=274853@17.calendar.bu.edu,Spot On! Podcast:  What Really  is a Sustainable Diet?,Tune in to learn all about sustainable diets and the role of both plant and animal-sourced foods in environmentally conscious diets.,9:00 am  every day,Health Sciences
2022-11-16,https://www.bu.edu/calendar/?day=2022-11-16&uid=274533@17.calendar.bu.edu,Flu Shot &amp; HPV Vaccine Clinics,"All BU students are welcome. Free for students with SHIP. Non-SHIP students will be charged for the cost of vaccines received and charges will be billed to the student account. Receipts will be emailed to students to submit to their insurance company for reimbursement. An appointment is required. Please book an appointment at https://patientconnect.bu.edu. Only flu and HPV shots will be offered, COVID-19 vaccines are not available at this clinic. HPV is a common STI that can lead to the development of cervical cancer. Due to COVID-19 guidelines, a face mask is required upon entry. Hosted by BU Student Health Services.","9:00 am  – 3:00 pm  every day until Friday, November 18, 2022",
2022-11-16,https://www.bu.edu/calendar/?day=2022-11-16&uid=269160@17.calendar.bu.edu,Study Abroad 101 ,"Join BU Study Abroad staff to learn more about studying abroad. We cover the basics of the enitre study abroad process from how to choose a program, courses, applications, financial aid, and more!","10:00 am to 10:30 am  on Wednesday, November 16, 2022",
2022-11-16,https://www.bu.edu/calendar/?day=2022-11-16&uid=274784@17.calendar.bu.edu,Film Screening: Out of Breath,"The Cinema &amp; Media Studies Program announces a special screening of Ana and Helena Petta's new film ""Out of Breath."" The film will be presented in person by director Helena Petta.","11:00 am to 12:00 pm  on Wednesday, November 16, 2022",
2022-11-16,https://www.bu.edu/calendar/?day=2022-11-16&uid=269364@17.calendar.bu.edu,Hidden and Hiding (Tago ng Tago): Filipino Weaving by Bhen Alan,"Tago ng Tago (always hiding) or TNT is a term coined for Filipinos abroad who are in hiding from the government authorities or ill-whistlers, due to expired work visas, undocumented status, and overstaying in a country. “TNT immigrants” is an identity given to Filipinos who live unauthorized and have to conceal their immigration status. 

In this exhibition, artist Bhen Alan crafts intricate tapestries using an ancient Filipino weaving tradition. These tapestries take on sculptural forms with Alan’s use of mixed media such as coconut and bamboo leaves, recycled plastics, woven rice sacks, fans and feathers. This traditional weaving brings a spotlight to Alan’s oft overlooked Filipino heritage in this country. While trying to connect with his own community, Alan uses his art to celebrate his own culture while raising questions of equality and human rights.","11:00 am  – 5:00 pm  on every Tuesday, Wednesday, Thursday, Friday, &amp; Saturday until Saturday, December 3, 2022",
2022-11-16,https://www.bu.edu/calendar/?day=2022-11-16&uid=269363@17.calendar.bu.edu,"CEY ADAMS, DEPARTURE: 40 Years of Art and Design","As a visionary artist, a cultural pioneer, and innovative designer, Cey Adams personifies the New York City hustle. A graffiti and design legend, Adams honed his art skills painting the streets and trains of NYC in the late 1970's before moving downtown where the street art was leaking into the city's high end galleries. Like his pop art contemporaries of the time, Adams understood the power of images, media and advertising, a position that left him uniquely suited to give visual life to a new movement called hip hop.
 
CEY ADAMS, DEPARTURE: 40 Years of Art and Design examines Adams' more than 4 decades of work which spans everything from graffiti to designing album covers, t-shirts and posters for some of hip hop's foundational acts, and his expanding commercial collaborations with global brands. With a return to his roots more than a decade ago, Adams has explored his evolving art through fine art and mixed media collages that evoke nostalgia while looking deeper into an Americana that is effortlessly authentic.","11:00 am  – 5:00 pm  on every Tuesday, Wednesday, Thursday, Friday, &amp; Saturday until Sunday, December 11, 2022",
2022-11-16,https://www.bu.edu/calendar/?day=2022-11-16&uid=273958@17.calendar.bu.edu,FDD Seminars- Documenting Our Commitment: DEIA Statements ,"This session, led by Angelique Harris, PhD, Associate Dean of D&amp;I at the Chobanian &amp; Avedisian School of Medicine, will examine the new Diversity, Equity, Inclusion, &amp; Accessibility (DEIA) page on the BU Profiles. Participants will receive tips on how to write diversity statements and how to incorporate their DEIA work on their CVs and BU Profiles.","12:00 pm to 1:00 pm  on Wednesday, November 16, 2022",
2022-11-16,https://www.bu.edu/calendar/?day=2022-11-16&uid=274238@17.calendar.bu.edu,GRS Dissertation Defense of Nicola Kriefall,"“ENVIRONMENTAL DRIVERS OF STRUCTURE,
RESILIENCE, AND RESISTANCE IN CORAL HOLOBIONTS”","12:20 pm on Wednesday, November 16, 2022",Graduate School of Arts and Sciences
2022-11-16,https://www.bu.edu/calendar/?day=2022-11-16&uid=274283@17.calendar.bu.edu,Dissertation Defense Schedule for Yu Liu,"""Characterization of Skeletal Stem Cells Derived From Different Musculoskeletal Locations""","1:00 pm on Wednesday, November 16, 2022",
2022-11-16,https://www.bu.edu/calendar/?day=2022-11-16&uid=274521@17.calendar.bu.edu,Sharpen Your Focus,,"3:00 pm to 4:00 pm  on Wednesday, November 16, 2022",
2022-11-16,https://www.bu.edu/calendar/?day=2022-11-16&uid=272979@17.calendar.bu.edu,Strategic Communications Workshop: Working with the Media to Share Your Research,,"3:00 pm to 4:30 pm  on Wednesday, November 16, 2022",
2022-11-16,https://www.bu.edu/calendar/?day=2022-11-16&uid=271983@17.calendar.bu.edu,Internship Insights,"Searching for an internship? Come to Internship Insights to learn all about the internship experiences of fellow Terriers! Talk one-on-one with students to gain insights into how they landed their internships and what their experiences were like at a variety of organizations. We'll have students representing industries such as education, marketing, communications, research, human services, and more. CCD staff will also be available to answer any questions you may have about securing an internship.

Bring your resume and immediately following the event have it reviewed by a member of the CCD!","3:00 pm to 4:00 pm  on Wednesday, November 16, 2022",
2022-11-16,https://www.bu.edu/calendar/?day=2022-11-16&uid=270531@17.calendar.bu.edu,Sharpen Your Focus,"Do you struggle with concentration issues? Maintaining focus with so many distractions as a student can be challenging. This skills-based group is designed for undergraduate and graduate students who want to learn strategies and address behaviors to improve attention, productivity, organization, time management and self-care. This group is open to all students regardless of having been diagnosed with an attentional disorder. Students are encouraged to practice and apply these skills between group sessions. Registration required, see website for details. ","3:00 pm  – 4:00 pm  on every Wednesday until Wednesday, December 7, 2022",
2022-11-16,https://www.bu.edu/calendar/?day=2022-11-16&uid=271648@17.calendar.bu.edu,Faculty Meetings,Faculty meetings for the College of Arts &amp; Sciences,"3:30 pm to 5:00 pm  on Wednesday, November 16, 2022",
2022-11-16,https://www.bu.edu/calendar/?day=2022-11-16&uid=273523@17.calendar.bu.edu,Body &amp; Self,,"3:30 pm to 4:30 pm  on Wednesday, November 16, 2022",
2022-11-16,https://www.bu.edu/calendar/?day=2022-11-16&uid=270337@17.calendar.bu.edu,Body and Self Group,"This group provides a space for students to explore ways to improve their relationship with food, their body and themselves. Members will discuss how issues related to self-esteem, emotions, relationships, and managing stress connect to and impact our relationships with food. Connecting with others in the group can be a powerful part of change and healing. With a deeper understanding of our struggles with food and our bodies, we will work toward challenging old ideas and developing new coping skills. Students are encouraged to practice these skills and apply them between group sessions. Registration required, see website for details. ","3:30 pm  – 4:30 pm  on every Wednesday until Wednesday, December 7, 2022",
2022-11-16,https://www.bu.edu/calendar/?day=2022-11-16&uid=274608@17.calendar.bu.edu,International Education Week Highlight,"In collaboration with BU Global Programs, our chefs have come up with menu items inspired from around the globe. Tonight, we are serving the national dish of Saudi Arabia, chicken kabsa, Chinese street style bao buns, and deruny, also known as Ukranian potato pancakes.IEW is a joint initiative of the U.S. Department of State and the U.S. Department of Education to celebrate the benefits of international education and exchange. ","5:00 pm to 9:00 pm  on Wednesday, November 16, 2022",
2022-11-16,https://www.bu.edu/calendar/?day=2022-11-16&uid=274703@17.calendar.bu.edu,"Questrom - KPMG Ideation Challenge (UG First Years, Sophomores &amp; Juniors Only)","Looking to crack complex business issues with data-driven ideas
and the power of technology? Now is your chance to fire up your
synapses and solve the problems of tomorrow using the power
of your business, technology, and data and analytics knowledge.

Boston University is one of 30 schools chosen to participate in KPMG’s Ideation Challenge (KIC)! As one of the universities selected to participate, BU students will compete head-to-head against some of the brightest students across the country. This competition has you working in a team to solve real-world problems the professional services industry is facing today. You will need to leverage various skillsets to generate a solution to our challenge prompt and present your solution to a panel of judges.

The competition will start with a local round, followed by a virtual semifinal round and then the top five teams in the U.S. will be invited to an in-person final round at KPMG Lakehouse. The winning U.S. team will be invited to our in-person Global Advantage program taking place internationally in June!","5:00 pm to 7:00 pm  on Wednesday, November 16, 2022",
2022-11-16,https://www.bu.edu/calendar/?day=2022-11-16&uid=274172@17.calendar.bu.edu,Crafts &amp; Chats: Crocheting ,"Join us and Charcoal Magazine for a fun evening crocheting! Crafts &amp; Chats is a weekly event held every Wednesday from 5-7pm at the HTC. No registration is required, all you have to bring is your amazing self!","5:00 pm to 7:00 pm  on Wednesday, November 16, 2022",
2022-11-16,https://www.bu.edu/calendar/?day=2022-11-16&uid=271939@17.calendar.bu.edu,International Fellowship Dinner,"International Intervarsity meets for free dinner Wednesdays 5-6pm in CAS 203. This is a group for international students, scholars, and spouses and gathers to make friends, eat food together, and learn spiritually. Come check it out.","5:00 pm  – 6:00 pm  on every Wednesday until Wednesday, December 7, 2022",Intervarsity
2022-11-16,https://www.bu.edu/calendar/?day=2022-11-16&uid=274761@17.calendar.bu.edu,Celebrating the Work and Teaching of Howard Zinn,"On the 100th anniversary of Howard Zinn’s birth, join us for an evening ofconversation about his influence on history education led by Kaylene Stevens,Christopher Martell, Robert Cohen, Sonia Morrow, and Stacie Berman. Thisevent will include a viewing of the film “Dear Mr. Zinn” and brief talks fromauthors and teachers whose work has been inspired by Howard Zinn.","6:00 pm to 8:00 pm  on Wednesday, November 16, 2022",
2022-11-16,https://www.bu.edu/calendar/?day=2022-11-16&uid=274688@17.calendar.bu.edu,Professional Clothing Closet Fashion Show,"The Professional Clothing Closet (PCC) is hosting its very first event! Enjoy a fashion show that shares some highlights of the PCC, featuring real students wearing real PCC outfits. Once you are inspired, you'll be able to browse the closet to find items to take home and keep. Finally, you can chat with representatives from local organizations about fashion and sustainability.

Interested in walking in the fashion show? Reach out to us on Instagram @bu_ccd.

(PCC items received during this event do not count towards the 4 items per semester a student can receive from PCC appointments)","6:00 pm to 8:00 pm  on Wednesday, November 16, 2022",
2022-11-16,https://www.bu.edu/calendar/?day=2022-11-16&uid=273469@17.calendar.bu.edu,BU Wheelock Graduate Programs General Info Session,"Join BU Wheelock graduate admissions staff member Gabriel Arredondo and financial aid officer Brian Boman for a formal presentation on our graduate academic programs, upcoming events, and additional information about the application process. There will be time at the end of the presentation for inquiries. We hope to see you there!","6:00 pm to 7:00 pm  on Wednesday, November 16, 2022",
